Name,R.A.,Dec.,16cm,4cm,15mm,7mm,3mm
0442+071,04:45:01,07:15:54,0.294,0.265,0.258,0.192,0.052
0445-221,04:47:37,-22:03:37,1.338,0.461,0.101,0.032,0.031
0446+112,04:49:08,11:21:29,,1.242,2.017,2.526,
J0449-6106,04:49:24,-61:06:27,0.393,0.359,0.237,0.137,0.134
J0449-4809,04:49:40,-48:09:41,0.082,0.055,0.023,0.087,0.168
0448-392,04:49:42,-39:11:09,0.721,0.777,0.581,0.319,0.247
0454-810,04:50:05,-81:01:02,0.615,0.955,1.612,1.541,1.175
J0451-4428,04:51:25,-44:28:51,0.121,0.133,0.274,0.194,0.069
0450-469,04:51:53,-46:53:20,0.233,0.243,0.22,0.171,0.114
J0452-8535,04:52:34,-85:35:18,0.435,0.376,0.33,0.197,0.388
0450+013,04:53:02,01:28:36,0.086,0.227,0.15,0.164,0.159
0451-282,04:53:15,-28:07:37,2.07,2.069,2.275,1.724,1.437
0453-206,04:55:24,-20:34:15,0.362,0.018,0.005,0.017,0.005
0454-463,04:55:51,-46:15:59,3.096,2.242,1.628,1.437,1.138
J0456-4041,04:56:32,-40:41:22,0.117,0.18,0.181,0.156,0.039
0454+039,04:56:47,04:00:53,0.23,0.359,0.352,0.178,0.127
0454-234,04:57:03,-23:24:52,1.203,3.459,3.852,2.078,1.304
0454+066,04:57:08,06:45:07,0.58,0.45,0.539,0.332,0.714
0457+024,04:59:52,02:29:31,1.441,0.905,0.653,0.327,0.046
0458-020,05:01:13,-01:59:14,0.628,2.292,7.631,5.576,1.207
0459+060,05:02:15,06:09:07,0.98,0.736,0.43,0.299,0.231
0500+019,05:03:21,02:03:05,2.438,1.907,0.901,0.507,0.049
0502+049,05:05:23,04:59:43,0.553,0.906,0.998,0.768,0.383
J0505-7914,05:05:43,-79:14:39,0.151,0.246,0.251,0.181,0.03
0506-612,05:06:44,-61:09:41,1.43,1.865,1.643,1.102,
J0507-6104,05:07:55,-61:04:43,0.438,0.526,0.44,0.375,0.295
0506+056,05:09:26,05:41:35,0.996,1.315,1.364,1.343,0.396
0507+179,05:10:02,18:00:42,,1.043,1.732,,1.15
J0510-8419,05:10:12,-84:19:29,0.087,0.193,0.224,0.295,0.214
0509+011,05:11:58,01:10:49,0.303,0.328,0.285,0.221,0.16
0511+009,05:13:40,01:00:22,0.153,0.261,0.142,0.101,0.055
0511-220,05:13:49,-21:59:16,0.697,0.689,1.069,0.776,0.353
J0514-4554,05:14:44,-45:54:36,0.09,0.257,0.293,0.243,0.228
0515-674,05:15:38,-67:21:28,1.175,0.556,0.207,0.099,0.032
J0515-4556,05:15:45,-45:56:43,1.056,0.835,1.106,0.975,0.803
0514-161,05:16:16,-16:03:08,0.401,0.532,0.591,0.34,0.274
0517-726,05:16:38,-72:37:07,,0.42,0.391,,
0516-621,05:16:45,-62:07:05,,0.742,0.765,0.685,
0515+067,05:17:51,06:48:03,0.525,0.383,0.287,0.204,0.089
J0518-6935,05:18:33,-69:35:21,0.204,0.186,0.142,0.092,0.084
0516+087,05:19:11,08:48:57,0.332,0.482,0.814,0.686,0.262
0518+165,05:21:10,16:38:22,6.308,3.88,1.15,1501.04,0.022
0519-208,05:21:39,-20:47:39,0.89,0.25,0.049,0.006,0.205
0519+011,05:22:17,01:13:31,0.464,0.838,0.648,0.408,0.129
0522-611,05:22:34,-61:07:57,0.636,0.41,0.329,0.26,0.152
0521-365,05:22:58,-36:27:31,1.885,3.939,4.157,3.344,5.831
J0523-2614,05:23:18,-26:14:16,,0.955,,,
J0524-5658,05:24:40,-56:58:52,0.882,0.57,0.383,0.247,0.141
J0525-5725,05:25:59,-57:25:08,0.554,0.374,0.22,0.145,0.119
0524-485,05:26:17,-48:30:37,,0.646,0.542,0.468,
0524+034,05:27:33,03:31:32,0.237,0.351,0.315,0.285,0.449
J0529-7625,05:29:17,-76:25:11,0.197,0.152,0.153,0.027,0.027
0530-727,05:29:30,-72:45:29,0.678,0.766,0.77,0.644,0.802
0528-250,05:30:08,-25:03:30,1.175,0.853,0.507,0.294,0.063
0528+134,05:30:56,13:31:55,,1.197,2.057,1.767,7.259
0529+075,05:32:39,07:32:43,1.766,2.031,1.866,1.87,0.937
J0533-7216,05:33:45,-72:16:24,0.187,0.167,0.107,0.073,0.118
0532-378,05:34:17,-37:47:25,0.691,0.647,0.356,0.257,0.204
0534-340,05:36:28,-34:01:11,0.495,0.909,0.565,0.511,0.576
0537-441,05:38:50,-44:05:09,2.716,4.623,6.026,5.889,3.079
J0538-6929,05:38:58,-69:29:59,,0.006,,,
0537-158,05:39:32,-15:50:30,0.263,0.585,0.382,0.246,0.253
J0539-5612,05:39:42,-56:12:50,0.419,0.33,0.255,0.158,0.138
0537-286,05:39:54,-28:39:56,1.47,1.149,0.971,0.758,0.735
0539-530,05:40:25,-53:03:47,0.72,0.468,0.262,0.086,0.108
J0540-5418,05:40:46,-54:18:22,0.539,0.625,0.736,0.651,0.176
0539-057,05:41:38,-05:41:49,0.926,0.902,0.605,0.427,0.515
J0546-6415,05:46:42,-64:15:22,0.07,0.078,0.102,0.025,0.235
J0549-5246,05:49:44,-52:46:26,0.121,0.13,0.188,0.149,0.159
0548+084,05:51:11,08:29:11,0.142,0.174,0.213,0.157,0.091
0550+032,05:52:50,03:13:27,0.492,0.589,0.62,0.539,0.895
J0558-5029,05:58:12,-50:29:49,0.226,0.2,0.143,0.095,0.155
J0558-7459,05:58:46,-74:59:05,0.438,0.412,0.402,0.345,0.228
J0602-5724,06:02:09,-57:24:03,0.095,0.122,0.116,0.082,0.15
0606-795,06:03:06,-79:34:51,1.095,0.463,0.124,0.011,0.038
0602-424,06:04:25,-42:25:30,0.254,0.471,0.624,0.678,0.486
0602+096,06:05:10,09:39:14,0.226,0.276,0.237,0.151,0.274
J0606-4729,06:06:36,-47:29:55,0.247,0.217,0.174,0.127,0.124
J0607-6031,06:07:55,-60:31:52,0.812,0.45,0.283,0.381,0.146
0605-085,06:08:00,-08:34:50,3.216,3.169,2.678,1.895,3.615
J0608-5456,06:08:49,-54:56:43,0.687,0.667,0.585,0.531,0.197
0606-223,06:09:00,-22:20:21,1.156,1.053,0.989,0.584,0.614
0607-157,06:09:41,-15:42:41,4.183,5.317,4.363,2.979,2.805
J0610-6058,06:10:30,-60:58:38,0.191,0.231,0.203,0.145,0.116
0610-436,06:12:29,-43:37:48,0.277,0.191,0.429,0.237,0.051
0614-349,06:16:36,-34:56:17,3.191,1.542,0.571,0.098,0.162
0615-365,06:17:32,-36:34:15,1.47,0.643,0.204,0.087,0.037
